,url,expanded_url,display_url,indices
1281,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[130, 153]"
1282,https://t.co/o2cADBW6Bt,https://sptnkne.ws/Ckjq,sptnkne.ws/Ckjq,"[96, 119]"
1283,https://t.co/OgdLMJlHRJ,https://sptnkne.ws/CkhN,sptnkne.ws/CkhN,"[128, 151]"
1284,https://t.co/IQMt2Anbbv,https://sptnkne.ws/CkgW,sptnkne.ws/CkgW,"[82, 105]"
1285,https://t.co/ud1l5xKxcD,https://sptnkne.ws/CkfQ,sptnkne.ws/CkfQ,"[96, 119]"
1286,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[88, 111]"
1287,https://t.co/LaBWXoktLQ,https://sptnkne.ws/CkgB,sptnkne.ws/CkgB,"[70, 93]"
1288,https://t.co/eHvfNEZIBx,https://sptnkne.ws/CkgF,sptnkne.ws/CkgF,"[81, 104]"
1289,https://t.co/KzL5WMPku3,https://sptnkne.ws/Ckfz,sptnkne.ws/Ckfz,"[92, 115]"
1290,https://t.co/1RR9AiJ1ZK,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[96, 119]"
1291,https://t.co/g5zvGtcsiF,https://sptnkne.ws/CkfP,sptnkne.ws/CkfP,"[70, 93]"
1292,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[82, 105]"
1293,https://t.co/lXU5M60ptv,https://sptnkne.ws/Ckfq,sptnkne.ws/Ckfq,"[86, 109]"
1294,https://t.co/bUICseX8w6,https://sptnkne.ws/CkeB,sptnkne.ws/CkeB,"[69, 92]"
1295,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[112, 135]"
1296,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[119, 142]"
1297,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[88, 111]"
1298,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[115, 138]"
1299,https://t.co/KMn24yP0mh,https://sptnkne.ws/Ckek,sptnkne.ws/Ckek,"[93, 116]"
1300,https://t.co/11WDR1YsjQ,https://sptnkne.ws/Ckea,sptnkne.ws/Ckea,"[102, 125]"
1301,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[85, 108]"
1302,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[84, 107]"
1303,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[103, 126]"
1304,https://t.co/0hBBGBK6kc,https://sptnkne.ws/Ckd8,sptnkne.ws/Ckd8,"[89, 112]"
1305,https://t.co/8qE8NSEde7,https://sptnkne.ws/Ckd6,sptnkne.ws/Ckd6,"[73, 96]"
1306,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[95, 118]"
1307,https://t.co/QFkdDaXtKk,https://sptnkne.ws/CkcW,sptnkne.ws/CkcW,"[75, 98]"
1308,https://t.co/J8wErnoem3,https://sptnkne.ws/CkcU,sptnkne.ws/CkcU,"[97, 120]"
1309,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[69, 92]"
1310,https://t.co/1zG9YUFsQ9,https://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[65, 88]"
1311,https://t.co/lioPX4jcPI,https://sptnkne.ws/CkcH,sptnkne.ws/CkcH,"[93, 116]"
1312,https://t.co/NGCUP4QJY5,https://sptnkne.ws/CkcC,sptnkne.ws/CkcC,"[94, 117]"
1313,https://t.co/ez110zV4t2,http://sptnkne.ws/CjTh,sptnkne.ws/CjTh,"[84, 107]"
1314,https://t.co/NcTSiAAlky,http://sptnkne.ws/CjTy,sptnkne.ws/CjTy,"[111, 134]"
1315,https://t.co/o2U3EAx0DQ,https://sptnkne.ws/Ckcy,sptnkne.ws/Ckcy,"[112, 135]"
1316,https://t.co/FT2FbuXD4Q,http://sptnkne.ws/CjBh,sptnkne.ws/CjBh,"[114, 137]"
1317,https://t.co/kXOO0DrbHY,http://sptnkne.ws/CjPC,sptnkne.ws/CjPC,"[82, 105]"
1318,https://t.co/ZP5YJMtUtY,http://sptnkne.ws/Ckbd,sptnkne.ws/Ckbd,"[87, 110]"
1319,https://t.co/FT2FbuXD4Q,http://sptnkne.ws/CjBh,sptnkne.ws/CjBh,"[112, 135]"
1320,https://t.co/mDV9VBrD79,http://sptnkne.ws/CjR2,sptnkne.ws/CjR2,"[80, 103]"
1321,https://t.co/eNRW24t0ET,http://sptnkne.ws/CkaD,sptnkne.ws/CkaD,"[99, 122]"
1322,https://t.co/zTRW6zN4xW,http://sptnkne.ws/CjTq,sptnkne.ws/CjTq,"[94, 117]"
1323,https://t.co/P2yQKvc08D,http://sptnkne.ws/CjVM,sptnkne.ws/CjVM,"[91, 114]"
1324,https://t.co/3nAuqbhIiG,https://sptnkne.ws/CkbU,sptnkne.ws/CkbU,"[90, 113]"
1325,https://t.co/9E2rQPdmTs,https://sptnkne.ws/CkbW,sptnkne.ws/CkbW,"[89, 112]"
1326,https://t.co/FT2FbuXD4Q,http://sptnkne.ws/CjBh,sptnkne.ws/CjBh,"[117, 140]"
1327,https://t.co/eh3hCkze92,https://sptnkne.ws/CkbR,sptnkne.ws/CkbR,"[86, 109]"
