,url,expanded_url,display_url,indices
2580,https://t.co/1Gi7n0zIZQ,http://bit.ly/2SImyqn,bit.ly/2SImyqn,"[55, 78]"
2586,https://t.co/VSOwynuXU6,https://www.youtube.com/watch?v=TXJnu-bh9k4,youtube.com/watch?v=TXJnu-…,"[45, 68]"
2593,https://t.co/8tpCHzXgiz,http://bit.ly/2SoPyEG,bit.ly/2SoPyEG,"[79, 102]"
2594,https://t.co/mCwrhBJird,http://bit.ly/39zQtrN,bit.ly/39zQtrN,"[91, 114]"
2597,https://t.co/bpRGVxkhdm,http://bit.ly/2SDOY4Z,bit.ly/2SDOY4Z,"[118, 141]"
2611,https://t.co/8KdiqmvnrE,https://www.youtube.com/watch?v=nctK1xavQ-k,youtube.com/watch?v=nctK1x…,"[44, 67]"
2612,https://t.co/xLXSWoJ047,http://bit.ly/39pLN7u,bit.ly/39pLN7u,"[89, 112]"
2618,https://t.co/XqDX1bSo86,http://bit.ly/31KCNaE,bit.ly/31KCNaE,"[76, 99]"
2637,https://t.co/5A90gO6K7h,http://bit.ly/2UEhTbI,bit.ly/2UEhTbI,"[66, 89]"
2642,https://t.co/bEXxiifNpU,http://bit.ly/2uCdqM2,bit.ly/2uCdqM2,"[83, 106]"
2645,https://t.co/PHVskIMK83,http://bit.ly/2w1sqDo,bit.ly/2w1sqDo,"[51, 74]"
2646,https://t.co/FNBe4FvH2H,http://bit.ly/37e91fD,bit.ly/37e91fD,"[72, 95]"
2650,https://t.co/z7Dt2djrhT,http://bit.ly/2UHTamF,bit.ly/2UHTamF,"[83, 106]"
2652,https://t.co/R4lSfQAnEp,http://rupt.ly/w2h1o,rupt.ly/w2h1o,"[92, 115]"
2654,https://t.co/ZfIlRxgHQx,http://bit.ly/2urL1IE,bit.ly/2urL1IE,"[89, 112]"
2656,https://t.co/K8BtKBIuQM,http://bit.ly/2OHWTwO,bit.ly/2OHWTwO,"[84, 107]"
2657,https://t.co/Z00yFGy4mC,http://rupt.ly/ohuit,rupt.ly/ohuit,"[67, 90]"
2658,https://t.co/R4lSfQiMMR,http://rupt.ly/w2h1o,rupt.ly/w2h1o,"[149, 172]"
2659,https://t.co/mcOveGF18U,https://bit.ly/3bsuch4,bit.ly/3bsuch4,"[78, 101]"
2676,https://t.co/YsrVHv4X19,http://bit.ly/2SidCJv,bit.ly/2SidCJv,"[61, 84]"
2681,https://t.co/mkdbdtN2Vm,http://bit.ly/37aT0qN,bit.ly/37aT0qN,"[50, 73]"
2682,https://t.co/NyHNt9d5l4,http://bit.ly/2uyfvIR,bit.ly/2uyfvIR,"[76, 99]"
2685,https://t.co/HDvVVUsU6h,http://bit.ly/2HgAW3H,bit.ly/2HgAW3H,"[57, 80]"
2692,https://t.co/H0FG4BXd4D,http://rupt.ly/pktoz,rupt.ly/pktoz,"[61, 84]"
2702,https://t.co/UpmSl6UfPZ,https://bit.ly/2Hb5J1S,bit.ly/2Hb5J1S,"[94, 117]"
2719,https://t.co/txMmOHLwFP,http://bit.ly/37dsFs6,bit.ly/37dsFs6,"[84, 107]"
2720,https://t.co/f9f0X1LiNI,http://bit.ly/2OCZMyQ,bit.ly/2OCZMyQ,"[76, 99]"
2730,https://t.co/tNqIBnWCb9,http://bit.ly/31E5UMU,bit.ly/31E5UMU,"[154, 177]"
2732,https://t.co/ihSTkehLdf,https://www.youtube.com/watch?v=doUJIp329wA,youtube.com/watch?v=doUJIp…,"[44, 67]"
2733,https://t.co/4VcQLWvExa,https://www.youtube.com/watch?v=GB4mWY42KC8,youtube.com/watch?v=GB4mWY…,"[82, 105]"
2739,https://t.co/fu3KrG24qj,http://bit.ly/39g7NBO,bit.ly/39g7NBO,"[93, 116]"
2747,https://t.co/AipJT4e8wH,http://bit.ly/2SqnFuS,bit.ly/2SqnFuS,"[70, 93]"
